Name Longitude(°N) Latitude(°E) VxI VyI VxE VyE Sx Sy Cor SYear Dur n
BOST 71.283 43.777 28.4 4.9 0.3 1.8 0.7 0.7 0.004 1995.7 3 3
BOZ4 71.792 41.495 26.2 6.6 -2 3.9 0.3 0.3 0.01 1995.5 12 8
BRL4 70.52 42.569 26.8 5.3 -1.2 2.5 0.6 0.6 0.018 1997.4 5.1 5
BTK4 70.765 40.048 27.9 6.5 -0.6 3.6 0.6 0.6 0.033 1999.6 4.8 4
BTR4 75.02 41.186 27.2 11.4 -1.1 9.7 0.4 0.4 0.004 1997.7 8.9 9
BULU 74.951 38.662 23.6 24.5 -5.1 22.7 0.6 0.6 -0.004 1998.9 4.3 4
BUR4 79.053 42.261 29.8 11.7 1.4 11.1 0.4 0.4 -0.001 1998.8 8 6
BUZ4 76.432 42.811 27.6 5 -0.8 3.7 0.3 0.4 0.003 1995.6 10.1 7
BYS4 75.729 42.749 27.8 5 -0.5 3.4 0.3 0.3 0.004 1995.6 11.1 5
CAR1 68.104 41.245 26.4 6.7 -1.3 2.5 0.4 0.4 0.02 1994.7 7.8 7
CATK 71.721 42.014 25.5 8.8 -2.2 4.9 0.6 0.6 0.003 1994.7 4 3
CAUV 72.09 40.199 26.9 10.8 -1.4 7.8 0.4 0.4 0.006 1994.7 9.8 7
CEK4 75.75 40.686 28.6 14.3 0.1 12.9 0.7 0.7 0.021 2002.6 4 4
CHA4 71.721 42.015 27 5.2 -1.4 2.7 0.5 0.5 0.019 1995.5 6.2 5
CHIL 78.878 43.584 29 8.4 1.1 6.4 0.6 0.6 0.006 1994.7 4 3
CHK4 77.739 41.527 29.3 13.7 0.9 12.7 0.6 0.6 0.007 1998.8 4.9 4
CHL4 77.845 43.267 28.3 5.7 0 4.8 0.4 0.5 0.002 1997.8 7.8 5
CHLK 78.373 43.529 28.9 4.8 0.5 4.4 0.7 0.7 0.005 2004.4 2.1 4
CHO4 77.075 42.719 28.6 6.8 0.3 5.7 0.3 0.3 0.018 1995.8 10.7 8
CHR4 78.976 43.271 29.6 6.3 1.2 5.7 0.4 0.4 0.001 1997.8 8.8 10
CHT4 76.052 41.334 28.2 13.2 -0.4 11.9 0.7 0.7 0.019 2002.6 4 5
CHU4 74.002 43.423 27.2 3.6 -1.1 1.8 0.4 0.4 -0.005 1997.4 8.2 5
CHUMb 74.751 42.999 26.9 3.8 -1.4 2 0.3 0.3 0.003 1997.7 9.8 35
CHY4 72.875 41.966 27.6 5.2 -0.7 2.9 0.4 0.4 0.005 1995.5 9.3 7
DAL4 78.457 43.137 29.5 6.5 1.2 5.8 0.4 0.4 0 1997.8 8.8 10
DANG 69.2 38.043 17.8 16.5 -9.6 10.9 0.9 0.9 0.022 1994.7 2 3
DAR4 75.041 40.782 28 12.1 -0.5 10.4 0.4 0.4 0.005 1997.7 8.9 8
DAT4 72.286 39.573 26.4 11.2 -2.1 8.7 0.6 0.6 0.031 1999.6 4.8 4
DEGE 75.766 43.245 27.4 4.1 -0.8 2.6 0.5 0.5 0.012 1995.5 7 7
DENA 67.88 38.235 26.6 8 -1.1 3.8 0.5 0.4 0.016 1994.7 8.1 4
DJA4 76.498 41.245 28.1 14.4 -0.4 13.2 0.7 0.7 0.012 2002.6 4 4
DJAN 66.106 38.338 24.6 12 -2.9 6.7 0.6 0.6 0.02 1994.7 4 3
DJE4 73.956 41.896 27.7 7.2 -0.8 5.3 0.3 0.3 0.005 1995.6 11.1 6
DJR4 74.469 40.987 27.7 10.9 -0.9 9.2 0.5 0.5 0.006 2000.5 6.1 5
DNG4 73.619 40.925 25.5 11.2 -2.9 9.4 0.6 0.6 0.008 2000.5 4.3 4
DOR4 79.877 43.38 29.8 7.4 1.5 7 0.6 0.7 0.028 1998.8 4.8 4
DRB4 69.128 41.552 25.6 6.2 -2.6 2.8 0.9 0.8 0.071 1999.5 3 4
DSO4 78.668 43.432 29 5.7 0.7 5.1 0.4 0.4 0.004 1998.8 7.8 10
DUSC 68.625 38.516 22.6 15.4 -9.4 12.7 0.9 0.9 0.026 1994.7 2 3
DYU4 74.366 41.476 26.8 8.5 -1.6 6.7 0.4 0.4 0 1997.7 9.1 8
EGA4 76.367 43.005 26.6 5 -1.7 3.7 0.6 0.6 0.02 1995.6 4.1 3
EKS4 76.742 42.07 28.9 10.4 0.5 9.2 0.3 0.3 0.008 1995.6 10.8 9
ELB4 76.468 41.82 28 10.8 -0.5 9.5 0.3 0.3 0.006 1995.6 11.1 7
ELG4 74.215 42.618 27.3 5.6 -1 3.7 0.3 0.3 0.007 1995.6 9.8 6
ELS4 75.051 42.624 27.8 5.9 -0.6 4.2 0.5 0.5 0.007 1995.6 6.1 4
EME4 74.452 41.821 27.5 8.2 -0.9 6.3 0.3 0.3 0.005 1995.6 11.1 6
ENG4 76.422 41.494 29 13.8 0.3 12.6 0.7 0.7 0.025 2002.6 3.8 3
ESE4 80.308 43.061 30.1 7.5 1.6 7.3 0.4 0.4 0.001 1998.8 7.8 8
GAK4 84.931 48.221 27.6 3.1 -0.1 4.4 0.7 0.7 0.019 2000.6 4 5
GARA 68.515 37.642 20.3 10.4 -7.9 5.8 0.6 0.6 0.012 1994.7 4 3
GAZE 75.479 38.853 28.8 24.7 0.1 23.2 0.5 0.5 -0.002 1998.9 6.3 7
GBL4 78.787 43.664 29 6.8 0.8 6.1 0.7 0.7 0.014 1998.8 3.7 4
GKO4 76.725 42.171 28.5 9.2 0.1 8.1 0.4 0.4 0.009 1999.5 7 6
GKU4 78.921 43.039 29.4 6.7 1.1 6.2 0.4 0.4 0.003 1998.8 7.8 9
GSO4 78.621 43.546 29.2 5.7 0.8 4.9 0.4 0.4 0.005 1998.8 7.8 7
GTA4 77.139 42.071 28.8 10.9 0.3 9.7 0.4 0.4 0.009 1998.8 7.7 7
GUAOb 87.177 43.471 31.2 6.9 3.3 8.5 0.5 0.5 0.002 2002.5 5 18
HEB4 83.59 49.828 25.5 0 -2 0.7 0.7 0.7 0.004 2000.6 4 5
HOK4 76.767 42.641 28.8 6.1 0.6 4.8 0.3 0.3 0.01 1995.6 10.8 7
HON4 73.802 42.426 27.6 4.4 -0.8 2.4 0.3 0.3 -0.006 1995.6 11.1 4
HRT4 73.067 42.493 27.4 5 -0.9 2.8 0.3 0.3 0.008 1995.6 11.8 5
HYDEb 78.551 17.417 42.3 34 14.9 33.1 0.6 0.5 0.001 2003.6 3.9 16
IISCb 77.57 13.021 43.2 35.8 16.3 34.8 0.3 0.3 -0.001 1995.5 12 47
IKZ4 73.796 39.654 29 13.2 0.7 11 0.7 0.6 0.003 1999.6 4.8 4
ILI4 78.188 43.953 27.6 3.9 -0.6 3.1 0.7 0.7 0.023 1998.8 3.7 3
INY4 79.07 42.015 30.2 12.2 1.9 11.6 0.3 0.3 0.003 1995.8 10.9 7
IRKTb 104.316 52.219 25.2 -5.5 -0.8 0.6 0.3 0.3 -0.004 1995.8 11.7 43
ISH4 78.21 41.601 30.1 13.2 1.7 12.4 0.4 0.5 -0.002 1998.8 8 5
ISY5 77.49 43.261 28.1 5.6 -0.2 4.7 0.6 0.8 0.038 1997.8 5.7 4
JAM4 71.526 42.908 26.8 4.8 -1.5 2 0.6 0.5 0.013 1997.4 5.1 5
JANG 70.804 41.533 26.3 8.4 -1.6 4.4 0.6 0.6 0.003 1994.7 4 4
JAP4 78.681 43.254 29.5 5.6 1 5 0.4 0.4 0.003 1998.8 7.8 14
JET4 78.274 42.297 28.5 11.6 0.1 10.8 0.4 0.4 0.003 1995.8 7.9 6
JIAS 76.734 39.497 26.6 20.8 -2.1 19.3 0.6 0.6 -0.013 1998.9 4.3 4
JJO4 75.334 43.011 27.2 4.3 -1.1 2.8 0.4 0.4 0 1995.6 11 6
JLK4 73.686 40.637 25.5 11 -2.8 8.9 0.5 0.5 0.004 1997.7 4.8 7
JNI4 78.224 43.104 28.8 5.7 0.5 5 0.4 0.5 0.004 1998.8 6.8 6
JUA4 75.645 42.105 27.5 8.2 -0.8 6.6 0.3 0.3 0.014 1995.5 11.1 9
K031 61.594 51.835 27.3 5.8 0.6 0.8 0.9 0.7 -0.011 1998.6 4 3
K051 66.316 51.751 27 6.2 0.1 2.4 1 0.7 0.019 1998.6 4 3
K071 65.795 48.052 27 5.2 -0.5 1.2 0.8 0.7 0.037 1998.6 4 3
K081 70.019 49.013 26.1 3.1 -1.5 0.2 0.8 0.7 0.017 1998.6 4 3
K091 66.462 47.828 26.6 4.3 -1 0.5 0.9 0.7 0.042 1998.6 4 3
K100 67.176 44.401 25.8 5.7 -2.2 2.1 0.8 0.8 0.022 1998.6 3.9 3
K111 69.034 43.376 26.3 5.2 -1.8 2.1 0.9 0.8 0.025 1998.6 2.9 3
K121 69.65 43.504 27.2 5.1 -0.9 2.1 1 0.8 0.04 1998.6 2.9 3
K131 70.285 53.126 26.8 3.7 -0.2 1.1 0.8 0.6 0.041 1998.6 4 3
K141 74.01 51.694 27 2.2 -0.3 0.4 0.9 0.7 0.025 1998.6 4 3
K151 71.848 51.338 27 3.4 -0.3 1.1 0.7 0.7 0.018 1998.6 4 3
K161 73.66 49.407 27.2 2.4 -0.4 0.5 0.9 0.7 0.055 1998.6 4 3
K171 74.571 46.908 28.1 2.5 0.1 0.9 0.7 0.7 0.025 1998.6 4 3
K181 73.553 45.755 28.2 2.8 0.2 0.9 0.7 0.7 0.018 1998.6 4 3
K191 75.783 50.808 26.7 1.7 -0.7 0.5 0.8 0.7 0.021 1998.6 4 3
K201 78.9 50.168 26.3 1.4 -1.3 1 0.7 0.7 0.042 1998.6 4 3
K211 78.406 49.194 25.7 2.5 -2 1.9 0.8 0.8 0.058 1998.6 4 3
K221 76.064 49.385 26.9 3 -0.7 1.8 0.7 0.7 0.028 1998.6 4 3
K231 75.844 47.852 27 0.8 -0.8 -0.5 0.7 0.7 0.02 1998.6 4 3
K241 80.047 49.065 28.2 1.3 0.5 1.3 0.7 0.7 0.025 1998.6 4 3
KAB4 81.609 49.528 26.3 1.7 -1.1 1.9 0.8 0.7 0.019 2000.6 4 5
KAI4 76.101 41.173 27.5 14.1 -0.8 12.5 0.5 0.5 0.024 1995.8 6.9 7
KAK1 72.904 42.806 27.4 6.2 -0.6 3.2 0.4 0.4 0.008 1994.7 7.8 10
KAL4 76.397 42.306 29 7.2 0.5 5.9 0.4 0.4 0.008 1999.5 7 4
KALA 78.037 39.714 29.6 20.1 1 19.2 0.6 0.6 0.01 1998.9 4.3 4
KALP 79.035 40.503 29.4 16.4 0.8 15.6 0.6 0.6 0.007 1998.9 4.3 3
KAR4 76.776 41.733 28.6 12.2 0.2 10.9 0.4 0.4 0.019 1995.8 10.7 6
KARA 70.963 39.959 28.3 12.6 0.3 8.6 0.6 0.6 0.004 1994.7 4 3
KARL 73.46 38.957 21.8 27.4 -6.7 24.1 0.6 0.6 0.007 1994.7 4 3
KAS4 75.443 42.3 28.3 6.5 -0.1 5.1 0.3 0.3 0.006 1995.6 11.1 6
KAST 75.967 43.045 27.2 5.8 -1.2 4.8 0.7 0.8 0.005 2004.4 2.1 4
KASU 76.84 41.132 28.4 14.4 0.1 12.8 0.3 0.3 0.005 1994.7 11.9 8
KAT4 80.008 42.74 30.2 10 1.9 9.8 0.7 0.6 0.017 1998.8 4.8 5
KAZAb 73.944 41.385 26.4 10 -2 8 0.3 0.3 0.002 1997.7 9.8 33
KAZY 69.824 42.036 26.3 5.6 -1.9 2.3 0.4 0.4 0.017 1995.5 7 8
KBU4 71.579 42.202 27.1 4.9 -1.1 2.3 0.3 0.4 0.008 1995.5 12 6
KEK4 76.057 42.759 28.3 4.7 -0.1 3.3 0.5 0.5 0.014 1995.8 6 4
KELI 77.906 37.258 25.7 22.2 -3 21.3 1 0.8 0.021 1998.9 2.7 4
KEN4 72.367 42.593 27.2 4.7 -1 2.2 0.3 0.3 0.011 1995.5 12 7
KET4 80.355 43.4 30.2 6.9 1.8 6.9 0.5 0.5 0.005 1998.8 6.8 6
KFIR 67.868 37.838 10.5 8.1 -17.6 3.3 0.6 0.6 0.014 1994.7 4 3
KHA4 73.672 44.38 27.8 3.1 -0.4 1.2 0.5 0.6 0.005 1997.4 5.1 4
KHZ4 72.297 40.362 28 8.6 -0.5 6.1 0.6 0.6 0.038 1999.6 4.8 4
KIN4 74.066 42.204 27.6 6.1 -0.8 4.2 0.3 0.3 0.002 1995.6 11.1 6
KIT3b 66.885 39.135 27.6 6.1 -0.7 2.2 0.3 0.3 0 1995.5 12 44
KIZI 76.463 38.656 27.1 22.8 -1.7 21.4 0.5 0.5 0.002 1998.9 6.3 7
KJA6 73.19 41.001 25.8 10 -2.7 8 0.5 0.5 -0.015 1997.7 7.1 5
KKA4 72.894 41.695 27 7.2 -1.3 4.9 0.4 0.4 0.014 1995.5 8.9 7
KKB4 72.735 39.678 27.6 10.8 -1 8.3 0.6 0.6 0.025 1999.6 4.8 4
KKC4 74.928 41.737 28.1 7.9 -0.5 6.3 0.4 0.4 0.001 1997.7 9.1 8
KKD4 76.205 41.902 27.9 10.7 -0.5 9.3 0.5 0.5 0.023 1995.8 6.9 5
KKO4 75.146 42.257 27.8 6.8 -0.6 5.2 0.4 0.4 0.01 1995.5 10.1 7
KKT4 70.222 43.271 27.1 5.4 -1.1 2.4 0.6 0.6 0.009 1997.4 5.1 5
KKY4 75.55 41.018 27.5 12.3 -1 10.9 0.8 0.7 0.029 1998.8 3.9 4
KLM4 70.975 39.742 27.8 8.6 -0.7 5.7 0.6 0.6 0.028 1999.6 4.8 4
KNG4 71.464 39.875 27.4 9.4 -1.1 6.7 0.6 0.6 0.031 1999.6 4.8 4
KNS4 78.825 43.024 29.5 6.7 1.1 6 0.4 0.4 0.001 1997.8 8.8 9
KOG4 76.408 41.892 27.2 11.1 -1.3 9.9 0.7 0.7 0.024 2002.6 3.8 3
KOK4 78.646 43.452 29.1 5.3 0.7 4.7 0.4 0.4 0.003 1997.8 8.8 12
KOL4 79.885 46.959 24.9 1.8 -2.8 1.6 0.8 0.8 0.035 2000.6 3 4
KOR4 84.959 49.412 25.3 0.4 -2 1.4 0.7 0.7 0.013 2000.6 4 5
KOS4 76.52 40.918 28.5 15.3 -0.1 14 0.7 0.7 0.01 2002.6 4 4
KOVK 73.881 41.808 27.4 6.3 -1.1 4.4 0.5 0.5 0.015 1999.8 5.8 3
KOY4 79.092 42.166 30.1 11.8 1.8 11.4 0.3 0.3 0.01 1995.8 10.9 7
KRB4 76.072 41.781 28.3 10.4 -0.2 8.9 0.3 0.3 0.004 1995.6 11.1 7
KRC4 85.066 48.797 25.1 0.7 -2.6 1.7 0.9 0.9 0.049 2000.6 3 4
KRK4 71.904 39.494 27.1 8.9 -1.4 6.3 0.6 0.6 0.048 1999.6 4.8 4
KRL6 76.434 41.122 27.9 14 -0.6 12.5 0.4 0.4 0.008 1995.8 10.8 6
KRM4 78.161 43.483 28.7 4.7 0.4 4 0.6 0.6 0.014 1997.8 4.7 4
KRS4 79.926 43.027 29.7 7.4 1.4 7.1 0.4 0.4 0.005 1998.8 7.8 9
KRT4 75.048 41.487 27.8 9 -0.7 7.4 0.4 0.4 0.005 1997.7 8.9 8
KRTVb 78.619 50.714 26.6 2.4 -0.8 1.7 0.4 0.4 0.003 2000.7 6.7 19
KRU4 76.443 40.734 28.5 14.7 -0.1 13.3 0.7 0.7 0.012 2002.6 4 4
KRV4 73.667 41.344 27 8.3 -1.6 6.4 0.5 0.5 0 2000.5 6.1 4
KSH4 77.744 44.592 25.9 3.5 -2.2 2.7 0.6 0.7 0.026 2000.6 4 5
KSHIb 75.923 39.517 31 19.8 2.4 18.3 0.4 0.4 0.003 1998.9 6.3 5
KST4 83.998 47.67 27 2.6 -0.8 3.3 0.7 0.7 0.022 2000.6 4 5
KSTUb 92.794 55.993 24.8 -3.1 -1.4 0.3 0.4 0.4 0.002 1997.7 7.1 28
KTA4 70.94 42.783 26.8 3.8 -1.4 1.1 0.6 0.6 0.005 1997.4 4.3 4
KTAU 70.94 42.783 26.2 4.5 -2.1 1.7 0.7 0.6 0.082 1995.5 7 5
KTE4 76.387 42.619 28.8 6.2 0.4 4.9 0.4 0.4 0.022 1995.6 10.8 4
KTSS 73.385 45.785 28 6.4 0.6 3 0.6 0.6 0.001 1994.7 4 3
KTY4 76.198 42.895 27.6 4.5 -0.8 3.1 0.5 0.5 0.011 1995.6 6.1 5
KUD4 79.858 43.63 29.7 7.3 1.4 7.1 0.7 0.7 0.02 1998.8 3.7 4
KUK4 75.761 41.749 28.8 9.1 0.5 7.6 0.8 0.8 0.05 2002.6 3.8 3
KUL4 76.298 40.816 28.8 14.3 0.4 13 0.3 0.3 0.01 1995.8 10.8 9
KUM4 70.601 41.669 26.8 5.5 -1.4 2.5 0.3 0.3 0.007 1995.5 12 8
KUN4 75.569 41.358 27.6 11.8 -0.8 10.2 0.3 0.3 0.012 1995.8 10.7 9
KUR4 75.086 43.379 26.9 3.8 -1.4 2.3 0.3 0.4 0 1995.5 11.1 7
KURA 72.832 43.253 26.9 4.4 -1.2 1.7 0.7 0.7 0.003 1995.7 3 3
KURG 68.715 37.874 18.9 11.9 -8.8 7.9 0.8 0.8 0.016 1994.7 4 3
KURY 76.339 43.894 27.8 3.1 -0.6 2.2 0.8 0.8 0.008 2004.4 2.1 4
KUT4 76.339 43.894 26.9 3.2 -1.2 2 0.4 0.4 -0.001 1997.4 9.2 7
KYZ4 75.135 42.092 27.7 7.5 -0.7 5.8 0.3 0.3 0.006 1995.5 11.2 8
KYZY 73.323 39.379 23.1 19.1 -5 16.4 0.7 0.7 0.015 1995.7 3 3
KZY4 75.977 40.523 29.6 13.9 1.1 12.5 0.7 0.7 0.019 2002.6 4 4
KZZ4 78.314 43.522 29.8 5.6 1.7 4.7 0.7 0.7 0.014 1998.8 3.7 5
LAM4 69.933 39.774 27.8 7.2 -0.8 4.1 0.6 0.6 0.057 1999.6 4.8 4
LEDI 68.526 38.323 20.2 8.9 -8 4.1 0.6 0.6 0.012 1994.7 4 3
LHASb 91.104 29.657 46.1 16.8 17.4 19.4 0.3 0.3 0 1995.5 11.2 46
LHAZb 91.104 29.657 46.3 17.2 17.5 19.7 0.5 0.5 -0.002 2002.5 5 17
LJM4 73.221 41.572 27.3 8.1 -1.1 5.9 0.4 0.4 0.012 1996.7 7.7 6
MARK 77.624 38.904 27.9 22.1 -0.8 20.9 0.6 0.6 0.016 1998.9 4.3 4
MAT4 78.501 44.225 27.4 3.4 -1.1 2.8 0.6 0.6 0.015 2000.6 5 6
MAY1 76.478 43.155 27.5 5.5 -0.6 3.7 0.4 0.4 0.007 1994.7 8 10
MDG4 70.157 40.035 28.1 5.4 -0.3 2.4 0.6 0.6 0.033 1999.6 4.8 4
MER4 73.341 42.524 26.9 4.5 -1.1 2.3 0.5 0.5 0.01 1995.6 6.8 5
MKR4 73.045 42.248 27.7 5.2 -0.6 3 0.4 0.4 0.009 1995.6 9.9 5
MNJ4 79.323 42.757 29.2 10.5 0.8 10.1 0.5 0.5 0.001 1998.8 5.8 6
MOL4 75.038 41.669 27.8 8.4 -0.7 6.7 0.3 0.3 0.004 1995.5 11.2 8
MUD4 76.572 41.129 27.3 14 -1.2 12.7 0.9 0.9 0.047 2002.6 2.9 3
MUJI 74.427 39.024 22.7 20.7 -5.9 19 0.5 0.4 0 1998.9 6.3 7
MUN4 78.112 42.439 28.5 10.8 0.1 10 0.4 0.4 -0.004 1998.8 8 7
MURG 73.796 38.137 22.1 26.5 -6.2 23.1 0.6 0.6 0.005 1994.7 4 4
MUS4 73.318 42.175 28.4 5.8 0.1 3.6 0.4 0.4 0.007 1995.6 9.9 6
NAR5 76.255 41.446 28.2 12.5 -0.3 11 0.4 0.4 0.016 1995.8 10.7 8
NBA4 80 42.599 30.8 10.8 2.4 10.5 0.7 0.7 0.012 1998.8 3.7 4
NGS4 75.73 41.875 27.5 8.6 -0.9 7.1 0.8 0.8 0.003 2002.6 3.8 3
NJK4 77.946 42.248 28.1 11.9 -0.4 11.1 0.4 0.4 -0.004 1998.8 8 6
NJT4 78.238 42.406 27 11.7 -1.3 10.9 0.8 0.8 0.012 1998.8 2.7 4
NKR4 79.21 42.665 29.3 11 0.9 10.3 0.4 0.4 0.004 1998.8 8 6
NKU4 78.284 43.013 32.6 6.3 4.2 5.6 0.7 0.7 0.023 1998.8 3.9 5
NRILb 88.36 69.362 21.6 -1 -1.4 1.2 0.4 0.4 0 2001.3 6.2 26
NRK4 74.69 41.82 27.8 8.2 -0.7 6.5 0.4 0.4 -0.001 1997.7 9.1 8
NSB4 73.763 40.88 25.6 11.3 -2.9 9.2 0.4 0.4 -0.003 1997.7 7.1 7
NTE4 79.21 43.139 29.5 7.1 1.1 6.6 0.4 0.4 0.004 1998.8 7.8 8
NTP4 78.374 42.684 28.4 8.4 -0.1 7.5 0.4 0.4 0.002 1998.8 8 7
NVSKb 83.235 54.841 26.2 0.5 -0.6 1 0.4 0.4 0.007 2000.6 6.8 24
OBO4 75.849 41.433 27.7 12.8 -0.8 11.4 0.7 0.7 0.025 2002.6 3.8 4
OGI4 74.549 42.04 28 6.8 -0.5 5 0.3 0.3 0.005 1995.6 11.1 5
OKI4 73.933 41.383 27.1 9.5 -1.4 7.5 0.3 0.3 0.005 1995.6 11 8
OKT1 67.67 40.291 27 7.8 -1.1 3.6 0.4 0.4 0.003 1994.7 8.1 4
ONA4 75.983 41.577 27.8 10.4 -0.8 9.1 0.8 0.8 0.035 2002.6 3.8 4
ORGO 77.918 42.44 28 10.5 -0.5 9.6 0.3 0.3 0.003 1995.5 11.2 6
OSH4 72.743 40.522 26.8 9.6 -1.6 7.3 0.4 0.5 0.013 1997.7 6.8 8
OTM4 73.201 42.235 27.8 5 -0.4 2.7 0.3 0.3 0.011 1995.5 12 8
OTTU 75.827 41.655 24.8 12.2 -3.2 9.5 0.6 0.6 0.01 1994.7 4 3
OYT4 74.076 40.436 26.6 13.2 -1.9 11.3 0.4 0.4 -0.004 1997.7 7.1 8
